anuncio,formato,gasto,impresiones,ctr_%,cpc,hook_%,hold_%,roas,cpa,compras,cpl,leads,veredicto,se_rompe_en,motivo
2 - Nueva - Copia,video,179906.23,32803,1.4,391.95,0.01,25.0,,,0,1781,101,Escalar,Clics en el enlace,CTR sano y estable → sostener / escalar · Hook bajo (0.01%): el arranque no frena el scroll
2 - Nueva - Copia 2,imagen,97138.73,19242,1.24,406.44,,,,,0,1429,68,Escalar,Clics en el enlace,CTR sano y estable → sostener / escalar
Nuevo anuncio de Clientes potenciales - Copia 3,imagen,16215.7,3540,1.61,284.49,,,,,0,1351,12,Poca data,Clics en el enlace,Poca data (12 leads): dejar correr / mirar señales de arriba
Nuevo anuncio de Clientes potenciales - Copia 2,imagen,8682.21,2026,1.88,228.48,,,,,0,789,11,Poca data,Clics en el enlace,Poca data (11 leads): dejar correr / mirar señales de arriba
Nuevo anuncio de Clientes potenciales - Copia 4,imagen,10350.83,1883,1.27,431.28,,,,,0,1725,6,Poca data,Clics en el enlace,Poca data (6 leads): dejar correr / mirar señales de arriba
IG Post 29/8 B - Convocatoria (30 días publicidad),imagen,4656.59,463,1.51,665.23,,,,,0,1164,4,Poca data,Clics en el enlace,Poca data (4 leads): dejar correr / mirar señales de arriba
1 - Nueva,imagen,3991.29,560,1.07,665.22,,,,,0,1996,2,Poca data,Clics en el enlace,Poca data (2 leads): dejar correr / mirar señales de arriba
2 - Nueva - Copia 3,imagen,1837.16,358,2.51,204.13,,,,,0,1837,1,Poca data,Clics en el enlace,Poca data (1 leads): dejar correr / mirar señales de arriba
1,imagen,0.99,4,0.0,,,,,,0,,0,Poca data,,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.0%): el mensaje no genera clic
2,imagen,0.36,2,0.0,,,,,,0,,0,Poca data,,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.0%): el mensaje no genera clic
3,imagen,0.46,2,0.0,,,,,,0,,0,Poca data,,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.0%): el mensaje no genera clic
2 - Nueva - Copia 4,imagen,20.03,9,0.0,,,,,,0,,0,Poca data,,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.0%): el mensaje no genera clic
3 - Nueva,imagen,320.32,50,0.0,,,,,,0,,0,Poca data,,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.0%): el mensaje no genera clic
2 - Nueva,imagen,571.05,59,1.69,571.05,,,,,0,,0,Poca data,Clics en el enlace,Poca data (0 leads): dejar correr / mirar señales de arriba
IG Post 29/8 A - Convocatoria (nuevas convocatorias),imagen,5110.5,407,0.25,5110.5,,,,,0,,0,Poca data,Clics en el enlace,Poca data (0 leads): dejar correr / mirar señales de arriba · CTR bajo (0.25%): el mensaje no genera clic
