Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad_Video_1,2026-09-01,1415.11,428,390,1.097436,7,0,0,0,0,0,410,48,2
Ad_Video_2,2026-09-01,72.49,28,28,1,0,0,0,0,0,0,27,1,0
Ad_Video_3,2026-09-01,899.03,235,226,1.039823,0,0,0,0,0,0,221,15,0
Ad_Video_4,2026-09-01,3568.81,1426,1330,1.07218,11,0,0,0,0,0,1307,78,8
Ad_Video_1,2026-09-02,64.91,30,27,1.111111,0,0,0,0,0,0,28,6,1
Ad_Video_2,2026-09-02,44.14,11,11,1,2,1,0,0,0,0,10,1,2
Ad_Video_3,2026-09-02,372.31,52,51,1.019608,2,0,0,0,0,0,46,5,2
Ad_Video_4,2026-09-02,831.5,230,220,1.045455,7,0,0,0,0,0,215,25,6
Ad_Video_4,2026-09-03,6496.41,2925,2638,1.108795,46,4,0,0,2,0,2736,136,27
Ad_Video_1,2026-09-04,0,0,0,0,0,0,0,0,1,0,0,0,0
Ad_Video_4,2026-09-04,19375.39,8844,7959,1.111195,100,7,0,0,7,0,8025,400,60
Ad_Video_1,2026-09-05,675.94,192,183,1.04918,5,0,0,0,0,0,185,24,4
Ad_Video_2,2026-09-05,285.82,97,90,1.077778,6,0,0,0,0,0,94,11,3
Ad_Video_4,2026-09-05,24940.64,13197,12124,1.088502,162,10,0,0,2,0,11511,878,90
Ad_Video_1,2026-09-06,0,0,0,0,0,0,0,0,0,0,0,0,1
Ad_Video_2,2026-09-06,8426.96,3050,2714,1.123803,80,11,0,0,2,0,2774,218,53
Ad_Video_3,2026-09-06,65.05,27,24,1.125,1,0,0,0,0,0,27,4,1
Ad_Video_4,2026-09-06,11614.6,6187,5662,1.092723,67,5,0,0,3,0,5507,383,40
Ad_Video_1,2026-09-07,91.6,30,30,1,2,1,0,0,1,0,28,3,2
Ad_Video_2,2026-09-07,6630.81,2259,2032,1.111713,51,2,0,0,2,0,2040,141,33
Ad_Video_4,2026-09-07,560.97,178,155,1.148387,6,1,0,0,0,0,141,13,4
